Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,45.740002,46.439999,45.349998,46.139999,44.872234,17525200
2018-11-06,46.040001,46.619999,46.000000,46.500000,45.222347,15446700
2018-11-07,46.980000,47.930000,46.750000,47.900002,46.583874,19990400
2018-11-08,47.869999,48.439999,47.869999,48.439999,47.109035,21002000
2018-11-09,48.080002,48.250000,46.700001,47.110001,45.815578,22015400
2018-11-12,47.139999,47.250000,45.540001,45.619999,44.366520,25913500
2018-11-13,45.700001,46.060001,45.029999,45.119999,43.880257,26196700
2018-11-14,45.459999,45.639999,44.080002,44.330002,43.111965,36613500
2018-11-15,46.799999,47.099998,45.150002,46.770000,45.484924,45983300
2018-11-16,46.459999,47.040001,46.130001,46.349998,45.076466,31327400
2018-11-19,46.349998,46.580002,45.250000,45.750000,44.492950,28370400
2018-11-20,44.919998,45.290001,44.139999,44.490002,43.267570,28430600
2018-11-21,44.950001,45.180000,44.400002,44.889999,43.656582,20117400
2018-11-23,44.450001,45.119999,44.389999,44.540001,43.316200,9372900
2018-11-26,45.139999,45.639999,45.090000,45.570000,44.317894,18275900
2018-11-27,45.450001,46.389999,45.209999,46.119999,44.852783,21472700
2018-11-28,46.299999,47.480000,46.119999,47.290001,45.990639,24293800
2018-11-29,46.900002,47.759998,46.900002,47.340000,46.039261,22650800
2018-11-30,47.270000,47.910000,46.919998,47.869999,46.554695,41619100
2018-12-03,48.320000,48.790001,48.080002,48.740002,47.400795,24690100
2018-12-04,48.700001,49.139999,47.250000,47.349998,46.048985,30802700
2018-12-06,46.990002,48.459999,46.470001,48.389999,47.060413,40133000
2018-12-07,48.160000,48.490002,46.360001,46.439999,45.163986,38298000
2018-12-10,46.299999,47.130001,45.820000,46.860001,45.572453,28682000
2018-12-11,47.860001,47.900002,46.709999,47.090000,45.796131,26048500
2018-12-12,47.919998,48.200001,47.360001,47.419998,46.117062,23157200
2018-12-13,47.680000,47.970001,47.130001,47.470001,46.165691,20051700
2018-12-14,46.369999,46.619999,45.639999,45.820000,44.561028,27364500
2018-12-17,45.820000,45.990002,43.910000,44.200001,42.985542,36610300
2018-12-18,44.549999,44.610001,43.730000,44.060001,42.849388,30513800
2018-12-19,43.889999,44.919998,42.570000,43.139999,41.954662,34820100
2018-12-20,42.990002,43.230000,41.869999,42.490002,41.322521,38810900
2018-12-21,42.910000,43.459999,41.740002,41.849998,40.700104,77915100
2018-12-24,41.700001,41.810001,40.250000,40.279999,39.173244,24069400
2018-12-26,40.680000,42.500000,40.400002,42.470001,41.303074,33335900
2018-12-27,41.889999,42.930000,41.150002,42.910000,41.730984,28404100
2018-12-28,43.169998,43.529999,42.459999,42.770000,41.594830,22447300
2018-12-31,43.189999,43.549999,42.889999,43.330002,42.139442,20581200
2019-01-02,42.279999,43.200001,42.209999,42.950001,41.769882,23833500
2019-01-03,42.299999,42.410000,40.959999,41.070000,40.250801,29606700
2019-01-04,41.849998,43.000000,41.529999,42.919998,42.063896,27515000
2019-01-07,42.860001,43.650002,42.759998,43.209999,42.348110,19488100
2019-01-08,43.570000,43.939999,43.099998,43.560001,42.691135,22071400
2019-01-09,43.869999,43.869999,43.169998,43.320000,42.455921,22640000
2019-01-10,43.110001,43.290001,42.580002,43.240002,42.377518,23277600
2019-01-11,43.110001,43.540001,42.889999,43.490002,42.622532,17378400
2019-01-14,43.080002,43.389999,43.000000,43.209999,42.348110,16243600
2019-01-15,43.330002,44.040001,43.150002,44.020000,43.141960,17744100
2019-01-16,44.119999,44.240002,43.759998,43.959999,43.083153,17262500
2019-01-17,43.869999,44.529999,43.799999,44.209999,43.328167,18826200
2019-01-18,44.480000,45.349998,44.310001,45.029999,44.131809,24416500
2019-01-22,44.880001,45.240002,44.380001,44.779999,43.886795,21338400
2019-01-23,45.139999,45.880001,45.020000,45.459999,44.553230,24770400
2019-01-24,45.630001,45.750000,45.230000,45.610001,44.700245,17360600
2019-01-25,46.119999,46.660000,45.950001,46.130001,45.209869,24196600
2019-01-28,45.730000,45.770000,45.230000,45.750000,44.837452,18296700
2019-01-29,45.810001,46.049999,45.650002,45.959999,45.043259,14470100
2019-01-30,45.939999,46.930000,45.919998,46.709999,45.778301,18329300
2019-01-31,46.720001,47.380001,46.520000,47.290001,46.346737,23693600
2019-02-01,47.369999,47.560001,47.049999,47.340000,46.395737,16266500
2019-02-04,47.220001,47.470001,47.119999,47.349998,46.405533,15743100
2019-02-05,47.419998,47.459999,47.080002,47.259998,46.317329,16946300
2019-02-06,47.119999,47.590000,46.950001,47.480000,46.532944,18160500
2019-02-07,47.189999,47.320000,46.490002,46.700001,45.768501,20331200
2019-02-08,46.400002,47.200001,46.299999,47.189999,46.248726,18407100
2019-02-11,47.340000,47.709999,47.130001,47.580002,46.630951,19363600
2019-02-12,47.270000,48.150002,47.160000,47.889999,46.934769,23909200
2019-02-13,47.860001,47.950001,47.119999,47.500000,46.552547,28325600
2019-02-14,48.849998,49.680000,48.340000,48.400002,47.434593,47598600
2019-02-15,48.830002,49.590000,48.439999,49.430000,48.444050,30189600
2019-02-19,49.200001,49.930000,49.200001,49.650002,48.659660,20204500
2019-02-20,49.700001,49.799999,49.349998,49.630001,48.640060,17550900
2019-02-21,49.540001,49.720001,49.200001,49.410000,48.424446,17120600
2019-02-22,49.700001,50.220001,49.580002,50.110001,49.110485,22008100
2019-02-25,50.340000,51.000000,50.340000,50.790001,49.776920,24264300
2019-02-26,50.509998,51.410000,50.480000,51.180000,50.159142,19382500
2019-02-27,51.209999,51.650002,50.889999,51.590000,50.560963,19940900
2019-02-28,51.549999,51.959999,51.349998,51.770000,50.737373,30708500
2019-03-01,52.000000,52.090000,51.270000,51.410000,50.384556,23683700
2019-03-04,51.650002,51.919998,50.630001,51.160000,50.139538,18725900
2019-03-05,51.119999,51.509998,50.970001,51.299999,50.276749,14994200
2019-03-06,51.369999,51.790001,50.919998,51.669998,50.639366,19686900
2019-03-07,51.549999,51.970001,51.209999,51.290001,50.266949,22209200
2019-03-08,50.720001,51.130001,50.509998,51.070000,50.051338,18182200
2019-03-11,51.139999,52.090000,51.099998,51.919998,50.884377,17859300
2019-03-12,52.009998,52.279999,51.680000,52.150002,51.109795,19485300
2019-03-13,52.410000,52.860001,52.139999,52.590000,51.541016,20568000
2019-03-14,52.630001,52.959999,52.509998,52.740002,51.688023,19215900
2019-03-15,52.939999,53.619999,52.930000,53.200001,52.138851,43670700
2019-03-18,53.270000,53.939999,53.090000,53.509998,52.442665,19073800
2019-03-19,53.790001,54.000000,53.139999,53.310001,52.246655,20596400
2019-03-20,53.160000,53.869999,52.860001,53.259998,52.197651,21140800
2019-03-21,53.080002,54.230000,53.040001,53.939999,52.864086,20082700
2019-03-22,53.910000,54.139999,52.700001,52.740002,51.688023,23938500
2019-03-25,52.700001,52.930000,52.250000,52.730000,51.678226,18774900
2019-03-26,53.189999,53.490002,53.000000,53.230000,52.168251,17742700
2019-03-27,53.299999,53.660000,52.740002,53.139999,52.080048,20447500
2019-03-28,53.189999,53.689999,53.020000,53.360001,52.295658,13095000
2019-03-29,53.700001,54.000000,53.360001,53.990002,52.913094,19582300
2019-04-01,54.480000,55.020000,54.389999,54.980000,53.883347,19741700
2019-04-02,55.000000,55.410000,54.970001,55.290001,54.187160,17264000
2019-04-03,55.459999,55.799999,55.070000,55.630001,54.520378,21110400
2019-04-04,55.369999,55.680000,54.860001,55.139999,54.382305,16412100
2019-04-05,55.250000,55.610001,55.130001,55.209999,54.451344,13817500
2019-04-08,55.200001,55.560001,54.790001,55.490002,54.727493,13862800
2019-04-09,55.080002,55.419998,54.860001,55.180000,54.421753,15508400
2019-04-10,55.110001,55.840000,55.110001,55.820000,55.052959,13460200
2019-04-11,55.930000,55.950001,55.310001,55.599998,54.835979,13186000
2019-04-12,55.930000,56.360001,55.790001,56.290001,55.516502,14331700
2019-04-15,56.400002,56.610001,56.240002,56.560001,55.782791,12198400
2019-04-16,56.619999,57.529999,56.610001,56.950001,56.167431,19718300
2019-04-17,57.180000,57.320000,56.290001,56.310001,55.536228,26093600
2019-04-18,56.630001,56.700001,56.110001,56.400002,55.624989,18332000
2019-04-22,56.160000,56.599998,56.099998,56.340000,55.565815,11951500
2019-04-23,56.430000,56.700001,56.200001,56.689999,55.911007,18796600
2019-04-24,56.639999,57.150002,56.580002,56.880001,56.098392,13212000
2019-04-25,56.459999,56.779999,56.009998,56.330002,55.555950,15526900
2019-04-26,56.020000,56.369999,55.680000,55.880001,55.112137,18010900
2019-04-29,55.669998,56.220001,55.549999,56.130001,55.358700,16259500
2019-04-30,56.000000,56.119999,55.529999,55.950001,55.181175,20846000
2019-05-01,56.000000,56.349998,55.509998,55.580002,54.816257,17648500
2019-05-02,55.480000,55.889999,54.820000,54.939999,54.185051,24220600
