Date,Open,High,Low,Close,Adj Close,Volume
2019-03-11,275.230011,283.529999,275.230011,281.799988,281.799988,568800
2019-03-12,283.040009,287.279999,281.220001,285.089996,285.089996,715000
2019-03-13,288.859985,296.000000,287.100006,292.510010,292.510010,1145500
2019-03-14,291.809998,293.964996,289.821991,292.609985,292.609985,509700
2019-03-15,294.799988,299.589996,293.329987,296.760010,296.760010,1026500
2019-03-18,296.760010,304.970001,294.821991,299.200012,299.200012,1042100
2019-03-19,300.489990,300.750000,294.600006,295.179993,295.179993,904500
2019-03-20,297.549988,300.019989,294.940002,298.450012,298.450012,592200
2019-03-21,304.609985,316.670013,303.160004,315.019989,315.019989,1665100
2019-03-22,312.329987,314.899994,299.589996,300.160004,300.160004,1134800
2019-03-25,298.119995,302.399994,295.179993,301.230011,301.230011,624200
2019-03-26,305.600006,314.278015,305.559998,309.799988,309.799988,959000
2019-03-27,310.980011,314.079987,305.529999,311.329987,311.329987,785800
2019-03-28,312.239990,315.179993,309.929993,312.299988,312.299988,632500
2019-03-29,314.950012,316.234985,311.700012,314.459991,314.459991,670000
2019-04-01,318.739990,319.410004,314.700012,318.359985,318.359985,794600
2019-04-02,318.959991,320.880005,317.049988,318.429993,318.429993,645600
2019-04-03,322.769989,325.000000,319.649994,321.750000,321.750000,770600
2019-04-04,322.000000,323.980011,310.470001,313.149994,313.149994,960800
2019-04-05,314.320007,315.940002,310.964996,311.059998,311.059998,877000
2019-04-08,310.209991,317.070007,306.463013,316.899994,316.899994,588700
2019-04-09,315.799988,319.309998,314.247986,317.190002,317.190002,442600
2019-04-10,317.649994,323.010010,317.595001,322.250000,322.250000,637300
2019-04-11,324.000000,324.000000,319.200012,322.230011,322.230011,550800
2019-04-12,325.000000,326.494995,323.119995,324.769989,324.769989,464900
2019-04-15,324.910004,329.250000,324.290009,327.339996,327.339996,543700
2019-04-16,329.510010,330.529999,326.760010,328.540009,328.540009,597900
2019-04-17,331.000000,331.269989,326.229004,328.040009,328.040009,530200
2019-04-18,328.459991,329.339996,320.119995,323.380005,323.380005,769800
2019-04-22,323.000000,328.500000,322.230011,327.600006,327.600006,515500
2019-04-23,322.730011,326.009003,315.640015,321.059998,321.059998,1103500
2019-04-24,321.149994,328.256989,321.149994,325.230011,325.230011,784100
2019-04-25,323.570007,324.609985,314.399994,318.109985,318.109985,703900
2019-04-26,317.089996,322.250000,316.230011,320.399994,320.399994,629500
2019-04-29,321.429993,322.829987,316.549988,316.880005,316.880005,711500
2019-04-30,315.619995,316.065002,306.950012,312.290009,312.290009,1269800
2019-05-01,314.880005,316.220001,310.410004,310.459991,310.459991,853400
2019-05-02,309.260010,315.664001,308.359985,310.850006,310.850006,1423500
2019-05-03,261.899994,278.440002,251.000000,278.410004,278.410004,5828600
2019-05-06,268.000000,273.399994,262.000000,273.309998,273.309998,2337800
2019-05-07,270.570007,271.143005,261.187012,265.670013,265.670013,1644500
2019-05-08,265.679993,269.744995,261.799988,266.250000,266.250000,1332300
